industryID,chemicalID,chemicalname,trdename,quantity,purpose
898,106,"Car Wash",,0.5,
902,107,"Amonia Nitrate",,3,
902,108,Dinamite,,0.5,
903,109,"Pomic Acid",,NULL,
24429,110,"Car Wash",,3,
24429,111,"Tee Pole",,7.5,
24432,112,"Amonium Nitrate",,2,
24432,113,Dinamite,,0.5,
24433,114,"Amonium Nitrate",,0.75,
24433,115,Dinamite,,0.05,
24433,116,"Water Jel",,0.15,
24434,117,"Amonium Nitrate",,1,
24434,118,Dinamite,,0.4,
24451,119,"High pressure",,7.5,
24451,120,"Car Wash",,1.5,
24455,121,Thinner,,6,
24477,122,"Amonium Nitrate",,0.5,
24477,123,Dinamite,,0.2,
24479,124,"High Presure",,4,
24479,125,Shampo,,4,
24480,126,"Car Wash",,6,
24480,127,Shampo,,5,
24483,128,Catelog,,5,
24483,129,Thinner,,6,
24483,130,paint,,2,
24484,131,Catelog,,0.5,
24484,132,paint,,0.5,
24493,133,"Car Wash",,2,
24493,134,"High Presure",,5,
24496,135,"Blasting powder",,NULL,
24496,136,"Water Jell",,NULL,
24496,137,"Amonium Nitrate",,NULL,
24498,138,"Amonium Nitrate",,0.5,
24498,139,Dinamite,,NULL,
24498,140,"Blasting Powder",,0.1,
24503,141,"Blasting Powder",,NULL,
24503,142,"Amoniam Nitrate",,NULL,
24503,143,"Water Gel",,NULL,
24504,144,"Amonium Nitrate",,1,
24504,145,Dinamite,,NULL,
24502,146,"Amonium Nitrate",,2,
24502,147,Dinamite,,0.6,
24510,148,"Amonium Nitrate",,5,
24511,149,"Water Gel",,NULL,
24511,150,"Amonium Nitrate",,NULL,
24511,151,"Server threat",,NULL,
24512,152,"Amonium Nitrate",,3,
24512,153,"Blasting powder",,0.4,
24512,154,Dinamite,,0.8,
24512,155,Detonators,,NULL,
24528,156,"Amonium Nitrate",,0.25,
24528,157,Dinamite,,NULL,
24528,158,"Blasting powder",,NULL,
24528,159,"Server threat",,NULL,
24531,160,Dinamite,,0.5,
24531,161,"Amonium Nitrate",,1,
24531,162,Detonators,,NULL,
24536,163,Dinamite,,1,
24536,164,"Amonium Nitrate",,5,
24545,165,"Amonium Nitrate",,1.5,
24545,166,"Blasting powder",,0.15,
24545,167,"Server threat",,NULL,
24545,168,Jelagnite,,NULL,
24551,169,"Amonium Nitrate",,0.4,
24551,170,Dinamite,,NULL,
24551,171,"Server threat",,NULL,
24553,172,"Amonium Nitrate",,15,
24553,173,"Water Gel",,1,
24553,174,"Blasting powder",,1,
24556,175,"Amonium Nitrate",,1.2,
24556,176,"Blasting powder",,NULL,
24556,177,"Server threat",,NULL,
24556,178,"Water Gel",,NULL,
24557,179,"Amonium Nitrate",,5,
24557,180,Dinamite,,0.5,
24557,181,"Blasting powder",,0.15,
24557,182,Detonators,,NULL,
24564,183,"Amonium Nitrate",,1,
24564,184,"Water Gel",,0.5,
24564,185,"Blasting powder",,0.25,
24566,186,"Amonium Nitrate",,NULL,
24566,187,"Water Gel",,NULL,
24566,188,"Blasting powder",,NULL,
24566,189,"Server threat",,NULL,
24569,190,Dinamite,,0.15,
24569,191,"Blasting powder",,0.1,
24569,192,"Amonium Nitrate",,0.25,
24570,193,"Amonium Nitrate",,NULL,
24570,194,Dinamite,,NULL,
24570,195,"Blasting powder",,NULL,
24571,196,"Blasting powder",,0.25,
24571,197,"Amonium Nitrate",,2.5,
24571,198,"Water Gel",,1,
24572,199,"Blasting powder",,0.01,
24572,200,Dinamite,,NULL,
24572,201,"Amonium Nitrate",,1,
24572,202,"Server threat",,NULL,
24573,203,Detonators,,NULL,
24573,204,"Amonium Nitrate",,4,
24573,205,"Water Gel",,1,
24574,206,"Amonium Nitrate",,2,
24574,207,Dinamite,,0.5,
24574,208,"Blasting powder",,0.5,
24574,209,"Server threat",,NULL,
24574,210,Detonators,,NULL,
24575,211,"Amonium Nitrate",,2,
24577,212,"Amonium Nitrate",,NULL,
24577,213,Dinamite,,NULL,
24577,214,"Blasting powder",,NULL,
24577,215,"Server threat",,NULL,
24579,216,"Amonium Nitrate",,NULL,
24579,217,"Blasting powder",,NULL,
24579,218,"Water Gel",,NULL,
1364,219,"R 134",,1,
1364,220,"R 404",,1,
2466,221,teepol,,4.5,"Vehicle washing"
3610,222,None,None,0,None
16433,223,,"Car wash",15,"Washing "
16433,224,,"High pressure",15,Washing
16434,225,,"High Power",3,"Washing & removal of oil & grease"
16434,226,,"Body Wash",2,"To clean the body"
1830,227,"Zinc Oxide",,30,"As an activator"
1830,228,"Stearic Acid",,15,"As an accellerator"
1830,229,Sulphur,,35,
1830,230,"Carbon Black",HI-Tech-India,180,"Rein Forcing Filler"
3282,231,"Sodium Silicate",Silicate,300,
15353,232,"Ammonium Nitrate",,39,"Initiate blasting"
993,233,Cooltreat,Nalco,NULL,"Cooling tower treatment"
1842,234,"Hydrocloric acid",,NULL,
1842,235,Picklaid,,NULL,
1842,236,Vangurd,,NULL,
1842,237,Phostoner-N,,NULL,
1842,238,Durafix-Z,,NULL,
993,239,"# 7338 & # 2818",Nalco,NULL,"Cooling tower treatment"
993,240,"DM 4.1",Nalco,NULL,"Boiler treatment"
993,241,Alcatreat,Nalco,NULL,"Boiler treatment"
993,242,"70% & 90% Chlorine","M/S Tech Water",3,"Water treatment"
24673,243,"Sodium Bycarbonate",,8,
24673,244,"Fomic Acid",,7.5,
24673,245,"Nexo bleach",,1.75,
1848,246,"Calcium Carbonate",,NULL,
1848,247,"Toluene di isocyanate",,NULL,
1848,248,Polyol,,NULL,
4093,249,"Sodium Hyperchloride 10%",,100,
4093,250,SLES,,30,
4093,251,"Sodium Sulphate",,50,
4093,252,"Soda Ash",,25,
17742,253,Explosive,,6,Explosion
17753,254,Explosive,,NULL,
17740,255,"Ammonia,Water gel , ",,50,Blasting
17754,256,"Amonium  Nitrate",,15,Blasting
17754,257,Dynamite,Dynamite,2,Blasting
17754,258,"Blasting Powder","Blasting Powder",0.01,Blasting
17830,259,Explosives,,NULL,
17831,260,Explosive,,NULL,
17747,261,,,NULL,
17312,262,Explosive,,1,Explosion
17746,263,"Dynamite, Ammonia",,500,Blasting
17826,264,Explosives,,NULL,Blasting
17327,265,Explosives,,NULL,Explotion
17371,266,Explosive,,25,Explosion
17307,267,Explosives,,NULL,Explotion
17741,268,Explosive,,NULL,Blasting
17308,269,"Ammonia,Water gel , ",,16,Blasting
18712,270,"Ammonia,Water gel , ",,NULL,Blasting
17253,271,Explosive,,NULL,Explosion
17255,272,Detergent,Dash,5,"Cleaning Vehicles"
17332,273,Explosives,,NULL,Explotion
17300,274,Detergent,Flash,5,"Cleaningn Vehicles"
17118,275,Explosives,,NULL,Explotion
17183,276,Explosive,,2,Explotion
17254,277,Explosive,,11,Explosion
18723,278,"Ammonia, Watter Gel",,NULL,Blasting
17181,279,Explosives,,NULL,Explotion
17374,280,,,NULL,
18731,281,Explosive,,NULL,Explosion
17182,282,"Ammonia,Dynamate",,NULL,Blasting
17001,283,Explosives,,NULL,Explotion
17250,284,"Car washing materials",,NULL,"For washing vehicles"
17123,285,"Ammonia, Dynamite,detenetor",,NULL,Blasting
18716,286,Explosives,,NULL,Explotion
1006,287,"Hydro Carbon","DF 2000V/CIC ",2,"Dry cleaning"
1006,288,"Clax universal","Johnson Diiversy",25,Laundry
1841,289,Britol,Britol,5,"cleaning vehicles"
1006,290,"Clax Build","Johnson Diiversy",25,Laundry
1006,291,"Clax Hypomagic","Johnson Diiversy",30,Laundry
1006,292,"Clax Softner","Johnson Diiversy",25,Laundry
17470,293,Explosive,,9.5,Explosion
1006,294,"Clax Sid","Johnson Diiversy",25,Laundry
1006,295,Targo,"Wilson & CO.",0.015,"Spot Cleaning"
1006,296,"Rust Go","Wilson & CO.",0.015,"Spot Cleaning"
1006,297,Bongo,"Wilson & CO.",0.004,"Spot Cleaning"
3305,298,Britol,Britol,15,"Cleaning Vehicles"
1006,299,"Suma Nova ","Johnson Diiversy",10,"Dish washing"
1006,300,Spiral,"Johnson Diiversy",10,"Floor cleaning"
1006,301,"Suma Bright","Johnson Diiversy",8,"Dish washing"
1006,302,"Suma Silver","Johnson Diiversy",5,"Silver ware polishing"
1006,303,Suma,"Johnson Diiversy",10,"Pre Soaking"
1850,304,dI-octylphalate,DOP,40,"Shoe sole"
18053,305,Explosives,,NULL,Explotion
10614,306,"Included in raw material list with quantities",,NULL,
17933,307,Explosive,,250,blastinfg
17991,308,Bitumin,,14400,"Product asphalt"
17995,309,Sodium,"Sodium Citrate",NULL,
17995,310,"Uric acid","Uric acid",NULL,
17995,311,Calcium,Calcium,NULL,
17995,312,"Salfosalilylic acid","Salfosalilylic acid",NULL,
10613,313,"Brasimal Gum",Brasimal,0.5,"Washing Vehicals"
17930,314,Explosives,,6.5,Explotion
17935,315,Explosive,,NULL,
18175,316,Britol,Britol,200,
18168,317,Hypresher,,10,"For Service"
17994,318,Explosive,,11,
994,319,Retarder,"Daratard 17",30,"Slow setting process"
994,320,Plasticiser,"Daracem 100",15,"Increase workability"
1832,321,"Aquaphos ",Henkel,NULL,
10597,322,"high pressure",real,3,cleaning
1846,323,"Sodium Hydroxide","Caustic soda",0.5,"Cleaning purpose"
24713,324,"Amonium Nitrate",,0.5,
24713,325,Dinamite,,0.125,
1846,326,"Citric acid",,1,"Cleaning purpose"
24713,327,"Blasting powder",,0.05,
17846,328,"linear low density polyethylene",LLDPE,2000,"As a raw matireal"
17842,329,"High power oil, greece,  water",,10,
3310,330,Binder,"Raw binder",25,
18391,331,"High power",Dash,5,
1840,332,TMTP,,1,"Rubber product"
1840,333,MBTS,,1,
1840,334,"Zinc Oxide",,4,
1840,335,"Stric Acid",,4,
1840,336,Sulphur,,6,
1010,337,"Standard  Laboratory chemicals",,NULL,"Normal/ Route laboratory work"
1010,338,Disinfectants,,NULL,"Normal/ Route laboratory work"
17506,339,Dynamite,,NULL,
2465,340,"Soap, Shampoo","Britol wash, Shampoo",5,Washing
2465,341,"Soap, Shampoo","Britol wash, Shampoo",8,Washing
17506,342,"black powder",,NULL,
17506,343,"Ammonium Nitrate",,NULL,
17506,344,Detonator,,NULL,
10137,345,"kerosine,soap,high pressure",,NULL,"Washing Vehicals"
18638,346,"Car wash",,4,
4067,347,Kerosine,,NULL,
18638,348,Grease,,1,
1859,349,HCL,,NULL,
1859,350,"Calcium Chloride",,NULL,
1859,351,Emulsificate,,NULL,
1859,352,"3551 and KS 60",,NULL,
1858,353,"Processing oil",DCP,NULL,"Activators and processing agents"
1858,354,"Zinc Oxide","Celcon ACP",NULL,"anti degradent"
1858,355,"Micro wax",,NULL,
1858,356,MBTS,,NULL,
1858,357,TMTD,,NULL,
1858,358,Suphur,,NULL,
4126,359,"AZITHROMYCIN CAPSULES 7 SUSPENSIONS",ZITHROCIN,NULL,
1861,360,Tiner,Sisco,4,
1861,361,"Sandin seeler","Jat holdings",NULL,
4126,362,"AMOXICILLIN CAPSULES",AXCIL,NULL,
4126,363,"CHLORPHENIRAMINE TABLETS",ALLERMINE,NULL,
4126,364,"CLOXACILLIN CAPSULES",CLOXIL,NULL,
4126,365,"CODEINE PHOSPHATE BPC SYRUP",ASTRIM,NULL,
16460,366,Paint,CIC,6,"Paint the tinkering parts"
16460,367,Thinner,"Chemico & Epoxy",5,"To clean the brushes"
16460,368,"Paste (sanding filler)","Super Cut",3,"To fill the damage area"
16460,369,Carbite,,1.5,"Gas welding"
16460,370,Kerosine,,3,"To remove the oil"
1037,371,"Bleaching powder",,NULL,"Washing purposes"
4069,372,"Butyl Alcohol",,NULL,
4069,373,"Methyl Proxitol",,NULL,
4069,374,"Isoprophyl Alcohol",,NULL,
4069,375,"Ethyl Acetate",,NULL,
3307,376,Glyphosate,Glytol,200,"Above chemical;s storage only "
24724,377,,,NULL,
4145,378,"PVC Resin",Nakan,800,"Injections of PVC Products"
2659,379,"teepol, Shampoo, Engine oil",,36.5,"For the vehicle service"
3307,380,Prophonose,Ocrane,100,"Above chemical;s storage only "
916,381,"All purpose cleaner","S & S chemicals",2,Cleaning
916,382,"Toilet bowl cleaner","S & S chemicals",4,Cleaning
916,383,"Hand soap","S & S chemicals",1,"Soap dispensors"
916,384,"Air freshner","S & S chemicals",1,"Better air smell"
3307,385,Mancoceb,Dynamic,200,"Above chemical;s storage only"
3307,386,Itidakloprid,Gramido,50,"Above chemical;s storage only"
3307,387,Asifoam,Dipet,100,"Above chemical;s storage only"
1866,388,Dynamite,,18.2,Blasting
1866,389,NH4NO3,,150,Blasting
1866,390,Detonates,,140,Blasting
2633,391,"Shampoo, Oil, Greese",,NULL,
927,392,"Drugs & laboratory chemicals",,NULL,
2422,393,Dynamite,,525,
2601,394,"Oil. Shampoo",,40,"Vehicle Cleaning"
17849,395,Ammonium,,NULL,"As a raw material"
997,396,"H1 Pressure",,4.5,Cleaning
2458,397,"Car wash, Deterdents, Tyle shine",Dash,3,"Cleaning & Washing vehicles"
1864,398,No,,NULL,
10549,399,"Ammonium  Bicoabonate","S Chaina",4,
3289,400,Ethonol,R/S,667,"Mixed with pine oil"
3289,401,"Pine Oil","Pine oil",167,
10549,402,"Sodium Bicarbonate","S Chaina",10,
10549,403,"Sodium metabisulphide","B.A.S..F Germany",2,
3289,404,"Titanium Oxide",TiO2,1.7,
10549,405,"Citric acid",TTCA,1,
10549,406,"Iso Propile Alchole","S & D",0.5,
10549,407,"Clina kayet antibakdis infectant","S & D",2,
24735,408,"Gun Powder, Ammonium, Water gel., Kalu beheth",,NULL,
2438,409,"Kerosene Oil, Detergents, Lubricants","Britol wash",22,Washing
4136,410,"Sodium Chloride","Common Salt",20,"Dye Process"
1076,411,"Task 1","Diversey, Green globe, Certifxd chemical",NULL,Cleaning
1076,412,Suma,,NULL,Dishwashing
4136,413,"Calcium Carbonate","Soda Ash",4,"Dye Process"
4136,414,,,NULL,
4136,415,"Acetic acid",,0.03,Washing
4136,416,Soap,,0.03,Washing
2445,417,"Soap, Shampoo",,5,Washing
10709,418,"Ammonia, Water Gel, Wedi nool, Kalu beheth",,NULL,
17923,419,DCP,,0.0005,
17923,420,Lycine,,0.0002,
17923,421,"DL Methinine",,0.0002,
24742,422,"Zinc O xide","Zinc Oxide",45,
24742,423,Sulpher,Sulpher,25,
24743,424,"Hexane(minor Amounts)",hexane,1.92,"Use as solvent"
24743,425,"Industrial Soap","Industrial Soap",0.1,"Anti tack agent"
24742,426,"Anti Oxident",R.D,10,
2459,427,"Soap, Car wash",,5.5,"For vehicle washing"
24743,428,"Zinc stearate","Zinc stearate",0.09,"Anti tack meterial"
24743,429,"SAE 90","SAE 90",0.025,"machine Lubricant"
24743,430,Kerosene,"Kerosene Oil",0.5,"Use as solvent"
24743,431,"Aliphatic Hydrocarbon","EXXSOL DSP 80/100",0.25,"USE AS SOLVENT"
24743,432,MEK,MEK,0.192,"use as solvent"
24744,433,"Master Bat","Enter Plastic",40,
24744,434,Solvent,IPA/WBA,15,
24744,435,Paint,"Flexo Ink",5,
10710,436,"soap,car wash",,3,washing
915,437,"Scale inhibitor",Protec,0.5,Boiler
1873,438,"Titanium Dioxide",Tiona,150,pigment
1873,439,"Carbon Black","Furnace Black",50,pigment
1873,440,Resines,"Ole resines NC, malic de natured",250,binding
10327,441,"ammonium nitrate",,0.076,
1873,442,Solvents,"MEK,Ethanol",200,solvent
10708,443,"detenator,gun powder, ammonia nitrate,wedi nool",,NULL,
2045,444,PVC,Formalon,200,
2045,445,"Calcium carbonate","Lanka Minerals",400,
2045,446,Fabrics,,0.5,
951,447,"Oxybleach, chlorine bleach",,NULL,
951,448,Emulcifire,,NULL,
951,449,Softner,,NULL,
951,450,"Soap powder","Clanalight dute",NULL,
24757,451,"ammonium nitrate,water gel",,2070,"for conducting rock blasting"
24755,452,,"naker high pressure",10,
24756,453,"Master batch","Ener Plastics",40,"To dye bags"
24756,454,Solvent,IPA/NBA,15,"To printing"
24756,455,Ink,"Flexo Ink",5,"To printing"
10517,456,No,,NULL,
2147483647,457,amonia,,25,
18997,458,,,NULL,
24766,459,Explosives,,NULL,Explotion
18995,460,thinner,thinner,2,"spray painting"
18048,461,Hiprenor,Nacer,20,
19215,462,No,No,0,no
17941,463,Explosives,,NULL,Explotion
18991,464,Ammonium,Dianamide,10,blasting
16597,465,Nil,,NULL,
16566,466,Nil,,NULL,
16573,467,Nil,,NULL,
989,468,"Engine oil","Castrol/ Caltex",85,"Lub service"
989,469,"Transmission oil",Castrol,9,"Lub service"
989,470,"Radiator coolant","Wurth - Lanka",4,Services
989,471,"Brake oil",Lockheed,4,Services
989,472,Petrol,Placorporation,10,"Services / Repaire"
989,473,Grease,Caltex,1,Services
1896,474,Pigments,,180,Colourant
1896,475,"Acrylic Co polymer",,450,Binder
24773,476,Explosive,,3.5,Explosion
1887,477,No,,NULL,
2443,478,"Amonia, Dainamite",,11.8,"Crush metals"
10325,479,"White Cement","J.K White Cement",120,Explotion
16648,480,"Anti Corrosive","Causeway Paint",2,
10325,481,"Titanium dioxide",Tyostar,6,Explotion
16648,482,Kerosene,,0.5,
10325,483,Elotex,tyostar,3,Explosion
18586,484,"Potasium permanganate",,0.5,
18586,485,Formaline,,1,
2137,486,"Sodium carbonate",,36,
2137,487,"Hydrogen Peroxide",,48,
2137,488,"Bleaching powder",,12,
17841,489,"High pressure",Brytol,10,
17841,490,"Car wash",,10,
3215,491,No,-,NULL,-
1890,492,MBTS,,2,Volcanizing
10222,493,"detergent powder",S.N.D,2,washing
16469,494,"Anti corrosive","Causeway Paint",2,"To prevent the iron from the corresion"
917,495,Chlorine,Chlorine,3,"Swimming pool"
917,496,"356 Morpholine cycloherylamine",Nalco,0.7,Boiler
12044,497,,,NULL,
17406,498,Explosive,,0.3,Explosion
917,499,"3425 Sodium carbonate",Nalco,0.3,Boiler
917,500,"3DT288 Phoporic acid, Sulfuric acid",Nalco,0.7,"Cooling tower"
24802,501,"citric acid",,1.5,"preservative and flavours"
24802,502,"Linu flavour",,1.5,"preservative and flavour"
24802,503,"sodium benzoate",,1.5,"preservatives and flavour"
11866,504,Ammonium,,1,
11864,505,Ammonia,,5,
11864,506,Silica,,2,
3201,507,"Methyl Ethyl ketone",MEK,20,"For printing and laminating"
3201,508,"Ethyl Acetate",,540,"For printing and laminating"
3201,509,"Polyurethane wet adhesive",,200,"For printing and laminating"
3201,510,"Normal propyl alcohol",NPA,165,"For printing and laminating"
3201,511,"Sodium Silicate",,25,"For printing and laminating"
12074,512,"Polish & Ditergent",,1,
1902,513,Polypoplen,"HP 500",2000,
16473,514,"Anti corrosive","Causeway Paint",2,"To prevent the iron from corrosive"
1046,515,"Printing ink",,71.4,
1046,516,"Roller wash",,29,
1046,517,"Fauntain solution",,14.3,
17378,518,,highprsser,20,
12027,519,teepol,,10,washing
3195,520,"Rosin modified phenolic resin","Rosin modified phenolic resin",10,"to make varnish"
3195,521,"Hydrocarbon resin","Hydrocarbon resin",10,"to make varnish"
3195,522,"Alkyd resin","Alkyd resin",5,"to make varnish"
3195,523,"Ketonic resin","Ketonic resin",5,"to make varnish"
16474,524,,,NULL,
3195,525,"Pigments (various)","Organic and Inorganic colourants",50,"for ink"
3195,526,"Petrolium Hydrocarbon","solvent naphtha",75,"for ink"
3195,527,"Mineral oils","Linseed oil",75,"for ink"
3195,528,"Micronised waxes","Polyethylene wax",5,"for ink"
24808,529,"Amoniya, Dainamaite",,NULL,
24811,530,"High pressure, kerosene",,NULL,"For washing purposes"
1021,531,,,NULL,
1021,532,,,NULL,
1021,533,,,NULL,
1021,534,,,NULL,
16650,535,"Anti Corrosive","Causeway Paint",2,"To prevan the iron corrosive"
1906,536,"Nickel sulphate",,0.04,
1906,537,"Nickel Chloride",,0.01,
1906,538,"Benzene Peroxide",,0.25,
1046,539,"Kerosene oil",,7.1,
6257,540,"Aluminum colouring",,10,colouring
6257,541,glue,,10,
6257,542,paint,,50,
18668,543,"Ammonium Nitrate",,10,
18668,544,detanator,,7,
18668,545,"gun powder",,2,
18696,546,Explosive,,NULL,Explosion
16479,547,"Anti corrosive","Causeway Paint",2,"To prevent the iron from corrosive"
16654,548,"Anti corrisive","Causeway paint",2,
18680,549,Explosive,,NULL,Explosion
4996,550,"Calcium hyperchlorate","H1 - clon",0.5,"Swimming pool"
16481,551,"Anti corrosive","Causeway Paint",2,"To prevent the iron from corrosive"
1921,552,"Sodium siticate",,20,
4130,553,,HCL,7.5,"Maintain pH"
4084,554,,,NULL,
4084,555,,,NULL,
4084,556,,,NULL,
17389,557,Explosives,,NULL,Explotion
2453,558,Dainamite,,1,"Metal Crushing"
1922,559,Primex,,NULL,
1922,560,Adhesive,,NULL,
3339,561,"Plastic recycle materials",HDP,75,
4085,562,Polyol,Daltolac,65,Insulation
4085,563,Isocyanate,Suprasec,100,Foaming
4085,564,Cyclopentane,Cyclopentane,10,
18666,565,Explosives,,NULL,Explotion
24822,566,Britol,Highpressure,NULL,
4124,567,HDPE,Titan,500," Bags"
2616,568,"Amoniya, Dainamaite",,6,"Metal Crushing"
3227,569,"retarding admixture","Pozzolith 300R",150,"To retard the setting of concrete to facilitate transport to long distance"
24824,570,Explosive,,NULL,Explosion
17385,571,Explosive,,12.5,Explosion
18362,572,"Amonium Nitrate","Amonium Nitrate",3,"For Blasting"
18362,573,Dynamite,Dynamite,1,"For Blasting"
4129,574,Plastizer,"Rheobuild 1000",NULL,"Adding to mixture"
4129,575,"Super Plastizer","Glenium c380",NULL,"Adding to mixture"
4129,576,Lubricant,De-bond,NULL,"De-bonding agent"
18664,577,Explosive,,1,Explosion
4142,578,HDPE,Marlocs,1005,
4142,579,"Calcium Carbonate",CPPL,285,
4142,580,Colourings,,15,
3213,581,"Dilute Sulfuric acid","Batery acid",175,"Filling for battery of Motor bikes"
2799,582,"Amonia, Dainamite",,5.75,"Metal Crushing"
4064,583,Thinner,CIC,0.2,Mixing
4064,584,Turpentine,CIC,1,"Cleaning of TIF"
4064,585,"Dye Penintrat",Zyglo,1,"Leak testing of TIF"
4064,586,"Transformer Oil",Raj,2285,"Insulation of TIF"
5134,587,"Domestic cleaning material"," Quiz products, S & D products & Harpic ",1,"Dishwashing, floor washing, oven cleaning, hand washing"
2752,588,"Amonia, Dainamite",,4.3,"Crush metals"
2039,589,IPA,,7,
2039,590,NBA,,6,
3233,591,"Borex powder and liquid",,NULL,"Timber seasoning"
4083,592,"Citric acid",,0.5,"To enhance food flavour"
1927,593,"Di ethyl glycol",,NULL,
1927,594,"Ethylene Glycole",,NULL,
1927,595,"Solution of organic",,NULL,
1927,596,"Citric acid",,NULL,
1930,597,Amonia,,NULL,
1930,598,Dynamite,,NULL,
1924,599,Teepol,,NULL,
1925,600,Sulfer,,6.6,
1925,601,"Carbon black",,195,
1925,602,"Anti oxident",,5.25,
1000,603,,"Protea EC531",1.7,Scaling
1000,604,,524/504,2,Biocide
1000,605,,506,NULL,Biocide
1937,606,"Caustic soda",,6,
4109,607,"Sodium hydroxide","Caustic soda",500,Mercerising
4109,608,H2O2,"Hydrogen peroxide",100,Bleeching
4109,609,Softners,,1,"Fabric finishing"
5030,610,"Prepared reagents",Human,0.05,Diagnostic
5030,611,,Bio-Rad,60,
5030,612,,Omega,60,
5030,613,,Bio-Tel,60,
5030,614,,Giesse,60,
3239,615,No,-,0,-
1948,616,Dynamite,,2,
1948,617,Amonia,,3,
3286,618,"Dash shampoo",Dash,0.1,
14640,619,"Car Wash",,2,"Washing "
16572,620,Nil,Nil,0,Nil
16564,621,Nil,Nil,0,Nil
